Flavor,Category,Reviews_Count,Avg_Rating,Sentiment_Score,Social_Mentions,Normalized_Rating,Normalized_Mentions,Normalized_Sentiment,Composite_Score
Oreo Milkshake Oreo,New Concept,25,4.8,0.95,26000,1.0,1.0,0.976,0.993
Fudgey Brownie Oreo,New Concept,25,4.6,0.88,19000,0.833,0.708,0.893,0.826
OREO Lemon,Classic,4476,4.4,0.97,2021,0.667,0.0,1.0,0.633
OREO Blueberry Pie,Seasonal,1735,4.6,0.5,8989,0.833,0.291,0.44,0.607
Bourbon Pecan Crunch Oreo,New Concept,25,4.3,0.75,12000,0.583,0.416,0.738,0.596
OREO Cookie Dough,Novelty,180,4.1,0.72,21227,0.417,0.801,0.702,0.579
OREO Mint,Classic,516,3.9,0.95,20457,0.25,0.769,0.976,0.572
OREO Chocolate,Classic,2441,4.2,0.55,13990,0.5,0.499,0.5,0.5
OREO Golden,Classic,3142,4.1,0.16,24939,0.417,0.956,0.036,0.41
OREO Birthday Cake,Novelty,3494,3.7,0.83,12653,0.083,0.443,0.833,0.38
OREO Firecracker Pop,Seasonal,2483,4.3,0.13,7873,0.583,0.244,0.0,0.34
Coconut Cream Pie Oreo,New Concept,25,3.9,0.55,8500,0.25,0.27,0.5,0.329
OREO BTS,Collaboration,1234,3.6,0.92,6675,0.0,0.194,0.94,0.321
OREO Double Stuff,Classic,3822,4.2,0.25,4943,0.5,0.122,0.143,0.317
OREO Original,Classic,910,3.9,0.65,2585,0.25,0.024,0.619,0.315
OREO Peanut Butter,Classic,3221,3.9,0.37,11805,0.25,0.408,0.286,0.292
OREO Reese's,Novelty,2969,4.0,0.19,14417,0.333,0.517,0.071,0.291
OREO Cinnamon Bun,Novelty,819,3.8,0.21,10692,0.167,0.362,0.095,0.184
