Flavor,Category,Reviews_Count,Avg_Rating,Sentiment_Score,Social_Mentions
OREO Original,Classic,910,3.9,0.65,2585
OREO Double Stuff,Classic,3822,4.2,0.25,4943
OREO Golden,Classic,3142,4.1,0.16,24939
OREO Mint,Classic,516,3.9,0.95,20457
OREO Lemon,Classic,4476,4.4,0.97,2021
OREO Birthday Cake,Novelty,3494,3.7,0.83,12653
OREO Peanut Butter,Classic,3221,3.9,0.37,11805
OREO Reese's,Novelty,2969,4.0,0.19,14417
OREO Cookie Dough,Novelty,180,4.1,0.72,21227
OREO Blueberry Pie,Seasonal,1735,4.6,0.5,8989
OREO Cinnamon Bun,Novelty,819,3.8,0.21,10692
OREO Chocolate,Classic,2441,4.2,0.55,13990
OREO Firecracker Pop,Seasonal,2483,4.3,0.13,7873
OREO BTS,Collaboration,1234,3.6,0.92,6675
